x,y,z,f
2,1.05,-20,2.1
2,1.05,-15,2.6
2,1.05,-10,3.1
2,1.05,-5,3.6
2,1.05,0,4.1
2,1.05,5,4.6
2,1.05,10,5.1
2,1.05,15,5.6
2,1.05,20,6.1
2,1.1,-20,2.2
2,1.1,-15,2.7
2,1.1,-10,3.2
2,1.1,-5,3.7
2,1.1,0,4.2
2,1.1,5,4.7
2,1.1,10,5.2
2,1.1,15,5.7
2,1.1,20,6.2
2,1.2,-20,2.4
2,1.2,-15,2.9
2,1.2,-10,3.4
2,1.2,-5,3.9
2,1.2,0,4.4
2,1.2,5,4.9
2,1.2,10,5.4
2,1.2,15,5.9
2,1.2,20,6.4
2,1.3,-20,2.6
2,1.3,-15,3.1
2,1.3,-10,3.6
2,1.3,-5,4.1
2,1.3,0,4.6
2,1.3,5,5.1
2,1.3,10,5.6
2,1.3,15,6.1
2,1.3,20,6.6
2,1.4,-20,2.8
2,1.4,-15,3.3
2,1.4,-10,3.8
2,1.4,-5,4.3
2,1.4,0,4.8
2,1.4,5,5.3
2,1.4,10,5.8
2,1.4,15,6.3
2,1.4,20,6.8
2,1.5,-20,3
2,1.5,-15,3.5
2,1.5,-10,4
2,1.5,-5,4.5
2,1.5,0,5
2,1.5,5,5.5
2,1.5,10,6
2,1.5,15,6.5
2,1.5,20,7
4,0.1,-20,2.2
4,0.1,-15,2.7
4,0.1,-10,3.2
4,0.1,-5,3.7
4,0.1,0,4.2
4,0.1,5,4.7
4,0.1,10,5.2
4,0.1,15,5.7
4,0.1,20,6.2
4,0.2,-20,2.4
4,0.2,-15,2.9
4,0.2,-10,3.4
4,0.2,-5,3.9
4,0.2,0,4.4
4,0.2,5,4.9
4,0.2,10,5.4
4,0.2,15,5.9
4,0.2,20,6.4
4,0.3,-20,2.6
4,0.3,-15,3.1
4,0.3,-10,3.6
4,0.3,-5,4.1
4,0.3,0,4.6
4,0.3,5,5.1
4,0.3,10,5.6
4,0.3,15,6.1
4,0.3,20,6.6
4,0.4,-20,2.8
4,0.4,-15,3.3
4,0.4,-10,3.8
4,0.4,-5,4.3
4,0.4,0,4.8
4,0.4,5,5.3
4,0.4,10,5.8
4,0.4,15,6.3
4,0.4,20,6.8
4,0.5,-20,3
4,0.5,-15,3.5
4,0.5,-10,4
4,0.5,-5,4.5
4,0.5,0,5
4,0.5,5,5.5
4,0.5,10,6
4,0.5,15,6.5
4,0.5,20,7
4,0.6,-20,3.2
4,0.6,-15,3.7
4,0.6,-10,4.2
4,0.6,-5,4.7
4,0.6,0,5.2
4,0.6,5,5.7
4,0.6,10,6.2
4,0.6,15,6.7
4,0.6,20,7.2
4,0.7,-20,3.4
4,0.7,-15,3.9
4,0.7,-10,4.4
4,0.7,-5,4.9
4,0.7,0,5.4
4,0.7,5,5.9
4,0.7,10,6.4
4,0.7,15,6.9
4,0.7,20,7.4
4,0.8,-20,3.6
4,0.8,-15,4.1
4,0.8,-10,4.6
4,0.8,-5,5.1
4,0.8,0,5.6
4,0.8,5,6.1
4,0.8,10,6.6
4,0.8,15,7.1
4,0.8,20,7.6
4,0.9,-20,3.8
4,0.9,-15,4.3
4,0.9,-10,4.8
4,0.9,-5,5.3
4,0.9,0,5.8
4,0.9,5,6.3
4,0.9,10,6.8
4,0.9,15,7.3
4,0.9,20,7.8
4,0.95,-20,3.9
4,0.95,-15,4.4
4,0.95,-10,4.9
4,0.95,-5,5.4
4,0.95,0,5.9
4,0.95,5,6.4
4,0.95,10,6.9
4,0.95,15,7.4
4,0.95,20,7.9
4,1,-20,4
4,1,-15,4.5
4,1,-10,5
4,1,-5,5.5
4,1,0,6
4,1,5,6.5
4,1,10,7
4,1,15,7.5
4,1,20,8
4,1.05,-20,4.1
4,1.05,-15,4.6
4,1.05,-10,5.1
4,1.05,-5,5.6
4,1.05,0,6.1
4,1.05,5,6.6
4,1.05,10,7.1
4,1.05,15,7.6
4,1.05,20,8.1
4,1.1,-20,4.2
4,1.1,-15,4.7
4,1.1,-10,5.2
4,1.1,-5,5.7
4,1.1,0,6.2
4,1.1,5,6.7
4,1.1,10,7.2
4,1.1,15,7.7
4,1.1,20,8.2
4,1.2,-20,4.4
4,1.2,-15,4.9
4,1.2,-10,5.4
4,1.2,-5,5.9
4,1.2,0,6.4
4,1.2,5,6.9
4,1.2,10,7.4
4,1.2,15,7.9
4,1.2,20,8.4
4,1.3,-20,4.6
4,1.3,-15,5.1
4,1.3,-10,5.6
4,1.3,-5,6.1
4,1.3,0,6.6
4,1.3,5,7.1
4,1.3,10,7.6
4,1.3,15,8.1
4,1.3,20,8.6
4,1.4,-20,4.8
4,1.4,-15,5.3
4,1.4,-10,5.8
4,1.4,-5,6.3
4,1.4,0,6.8
4,1.4,5,7.3
4,1.4,10,7.8
4,1.4,15,8.3
4,1.4,20,8.8
4,1.5,-20,5
4,1.5,-15,5.5
4,1.5,-10,6
4,1.5,-5,6.5
4,1.5,0,7
4,1.5,5,7.5
4,1.5,10,8
4,1.5,15,8.5
4,1.5,20,9
6,0.1,-20,4.2
6,0.1,-15,4.7
6,0.1,-10,5.2
6,0.1,-5,5.7
6,0.1,0,6.2
6,0.1,5,6.7
6,0.1,10,7.2
6,0.1,15,7.7
6,0.1,20,8.2
6,0.2,-20,4.4
6,0.2,-15,4.9
6,0.2,-10,5.4
6,0.2,-5,5.9
6,0.2,0,6.4
6,0.2,5,6.9
6,0.2,10,7.4
6,0.2,15,7.9
6,0.2,20,8.4
6,0.3,-20,4.6
6,0.3,-15,5.1
6,0.3,-10,5.6
6,0.3,-5,6.1
6,0.3,0,6.6
6,0.3,5,7.1
6,0.3,10,7.6
6,0.3,15,8.1
6,0.3,20,8.6
6,0.4,-20,4.8
6,0.4,-15,5.3
6,0.4,-10,5.8
6,0.4,-5,6.3
6,0.4,0,6.8
6,0.4,5,7.3
6,0.4,10,7.8
6,0.4,15,8.3
6,0.4,20,8.8
6,0.5,-20,5
6,0.5,-15,5.5
6,0.5,-10,6
6,0.5,-5,6.5
6,0.5,0,7
6,0.5,5,7.5
6,0.5,10,8
6,0.5,15,8.5
6,0.5,20,9
6,0.6,-20,5.2
6,0.6,-15,5.7
6,0.6,-10,6.2
6,0.6,-5,6.7
6,0.6,0,7.2
6,0.6,5,7.7
6,0.6,10,8.2
6,0.6,15,8.7
6,0.6,20,9.2
6,0.7,-20,5.4
6,0.7,-15,5.9
6,0.7,-10,6.4
6,0.7,-5,6.9
6,0.7,0,7.4
6,0.7,5,7.9
6,0.7,10,8.4
6,0.7,15,8.9
6,0.7,20,9.4
6,0.8,-20,5.6
6,0.8,-15,6.1
6,0.8,-10,6.6
6,0.8,-5,7.1
6,0.8,0,7.6
6,0.8,5,8.1
6,0.8,10,8.6
6,0.8,15,9.1
6,0.8,20,9.6
6,0.9,-20,5.8
6,0.9,-15,6.3
6,0.9,-10,6.8
6,0.9,-5,7.3
6,0.9,0,7.8
6,0.9,5,8.3
6,0.9,10,8.8
6,0.9,15,9.3
6,0.9,20,9.8
6,0.95,-20,5.9
6,0.95,-15,6.4
6,0.95,-10,6.9
6,0.95,-5,7.4
6,0.95,0,7.9
6,0.95,5,8.4
6,0.95,10,8.9
6,0.95,15,9.4
6,0.95,20,9.9
6,1,-20,6
6,1,-15,6.5
6,1,-10,7
6,1,-5,7.5
6,1,0,8
6,1,5,8.5
6,1,10,9
6,1,15,9.5
6,1,20,10
6,1.05,-20,6.1
6,1.05,-15,6.6
6,1.05,-10,7.1
6,1.05,-5,7.6
6,1.05,0,8.1
6,1.05,5,8.6
6,1.05,10,9.1
6,1.05,15,9.6
6,1.05,20,10.1
6,1.1,-20,6.2
6,1.1,-15,6.7
6,1.1,-10,7.2
6,1.1,-5,7.7
6,1.1,0,8.2
6,1.1,5,8.7
6,1.1,10,9.2
6,1.1,15,9.7
6,1.1,20,10.2
6,1.2,-20,6.4
6,1.2,-15,6.9
6,1.2,-10,7.4
6,1.2,-5,7.9
6,1.2,0,8.4
6,1.2,5,8.9
6,1.2,10,9.4
6,1.2,15,9.9
6,1.2,20,10.4
6,1.3,-20,6.6
6,1.3,-15,7.1
6,1.3,-10,7.6
6,1.3,-5,8.1
6,1.3,0,8.6
6,1.3,5,9.1
6,1.3,10,9.6
6,1.3,15,10.1
6,1.3,20,10.6
6,1.4,-20,6.8
6,1.4,-15,7.3
6,1.4,-10,7.8
6,1.4,-5,8.3
6,1.4,0,8.8
6,1.4,5,9.3
6,1.4,10,9.8
6,1.4,15,10.3
6,1.4,20,10.8
6,1.5,-20,7
6,1.5,-15,7.5
6,1.5,-10,8
6,1.5,-5,8.5
6,1.5,0,9
6,1.5,5,9.5
6,1.5,10,10
6,1.5,15,10.5
6,1.5,20,11
8,0.1,-20,6.2
8,0.1,-15,6.7
8,0.1,-10,7.2
8,0.1,-5,7.7
8,0.1,0,8.2
8,0.1,5,8.7
8,0.1,10,9.2
8,0.1,15,9.7
8,0.1,20,10.2
8,0.2,-20,6.4
8,0.2,-15,6.9
8,0.2,-10,7.4
8,0.2,-5,7.9
8,0.2,0,8.4
8,0.2,5,8.9
8,0.2,10,9.4
8,0.2,15,9.9
8,0.2,20,10.4
8,0.3,-20,6.6
8,0.3,-15,7.1
8,0.3,-10,7.6
8,0.3,-5,8.1
8,0.3,0,8.6
8,0.3,5,9.1
8,0.3,10,9.6
8,0.3,15,10.1
8,0.3,20,10.6
8,0.4,-20,6.8
8,0.4,-15,7.3
8,0.4,-10,7.8
8,0.4,-5,8.3
8,0.4,0,8.8
8,0.4,5,9.3
8,0.4,10,9.8
8,0.4,15,10.3
8,0.4,20,10.8
8,0.5,-20,7
8,0.5,-15,7.5
8,0.5,-10,8
8,0.5,-5,8.5
8,0.5,0,9
8,0.5,5,9.5
8,0.5,10,10
8,0.5,15,10.5
8,0.5,20,11
8,0.6,-20,7.2
8,0.6,-15,7.7
8,0.6,-10,8.2
8,0.6,-5,8.7
8,0.6,0,9.2
8,0.6,5,9.7
8,0.6,10,10.2
8,0.6,15,10.7
8,0.6,20,11.2
8,0.7,-20,7.4
8,0.7,-15,7.9
8,0.7,-10,8.4
8,0.7,-5,8.9
8,0.7,0,9.4
8,0.7,5,9.9
8,0.7,10,10.4
8,0.7,15,10.9
8,0.7,20,11.4
8,0.8,-20,7.6
8,0.8,-15,8.1
8,0.8,-10,8.6
8,0.8,-5,9.1
8,0.8,0,9.6
8,0.8,5,10.1
8,0.8,10,10.6
8,0.8,15,11.1
8,0.8,20,11.6
8,0.9,-20,7.8
8,0.9,-15,8.3
8,0.9,-10,8.8
8,0.9,-5,9.3
8,0.9,0,9.8
8,0.9,5,10.3
8,0.9,10,10.8
8,0.9,15,11.3
8,0.9,20,11.8
8,0.95,-20,7.9
8,0.95,-15,8.4
8,0.95,-10,8.9
8,0.95,-5,9.4
8,0.95,0,9.9
8,0.95,5,10.4
8,0.95,10,10.9
8,0.95,15,11.4
8,0.95,20,11.9
8,1,-20,8
8,1,-15,8.5
8,1,-10,9
8,1,-5,9.5
8,1,0,10
8,1,5,10.5
8,1,10,11
8,1,15,11.5
8,1,20,12
8,1.05,-20,8.1
8,1.05,-15,8.6
8,1.05,-10,9.1
8,1.05,-5,9.6
8,1.05,0,10.1
8,1.05,5,10.6
8,1.05,10,11.1
8,1.05,15,11.6
8,1.05,20,12.1
8,1.1,-20,8.2
8,1.1,-15,8.7
8,1.1,-10,9.2
8,1.1,-5,9.7
8,1.1,0,10.2
8,1.1,5,10.7
8,1.1,10,11.2
8,1.1,15,11.7
8,1.1,20,12.2
8,1.2,-20,8.4
8,1.2,-15,8.9
8,1.2,-10,9.4
8,1.2,-5,9.9
8,1.2,0,10.4
8,1.2,5,10.9
8,1.2,10,11.4
8,1.2,15,11.9
8,1.2,20,12.4
8,1.3,-20,8.6
8,1.3,-15,9.1
8,1.3,-10,9.6
8,1.3,-5,10.1
8,1.3,0,10.6
8,1.3,5,11.1
8,1.3,10,11.6
8,1.3,15,12.1
8,1.3,20,12.6
8,1.4,-20,8.8
8,1.4,-15,9.3
8,1.4,-10,9.8
8,1.4,-5,10.3
8,1.4,0,10.8
8,1.4,5,11.3
8,1.4,10,11.8
8,1.4,15,12.3
8,1.4,20,12.8
8,1.5,-20,9
8,1.5,-15,9.5
8,1.5,-10,10
8,1.5,-5,10.5
8,1.5,0,11
8,1.5,5,11.5
8,1.5,10,12
8,1.5,15,12.5
8,1.5,20,13
10,0.1,-20,8.2
10,0.1,-15,8.7
10,0.1,-10,9.2
10,0.1,-5,9.7
10,0.1,0,10.2
10,0.1,5,10.7
10,0.1,10,11.2
10,0.1,15,11.7
10,0.1,20,12.2
10,0.2,-20,8.4
10,0.2,-15,8.9
10,0.2,-10,9.4
10,0.2,-5,9.9
10,0.2,0,10.4
10,0.2,5,10.9
10,0.2,10,11.4
10,0.2,15,11.9
10,0.2,20,12.4
10,0.3,-20,8.6
10,0.3,-15,9.1
10,0.3,-10,9.6
10,0.3,-5,10.1
10,0.3,0,10.6
10,0.3,5,11.1
10,0.3,10,11.6
10,0.3,15,12.1
10,0.3,20,12.6
10,0.4,-20,8.8
10,0.4,-15,9.3
10,0.4,-10,9.8
10,0.4,-5,10.3
10,0.4,0,10.8
10,0.4,5,11.3
10,0.4,10,11.8
10,0.4,15,12.3
10,0.4,20,12.8
10,0.5,-20,9
10,0.5,-15,9.5
10,0.5,-10,10
10,0.5,-5,10.5
10,0.5,0,11
10,0.5,5,11.5
10,0.5,10,12
10,0.5,15,12.5
10,0.5,20,13
10,0.6,-20,9.2
10,0.6,-15,9.7
10,0.6,-10,10.2
10,0.6,-5,10.7
10,0.6,0,11.2
10,0.6,5,11.7
10,0.6,10,12.2
10,0.6,15,12.7
10,0.6,20,13.2
10,0.7,-20,9.4
10,0.7,-15,9.9
10,0.7,-10,10.4
10,0.7,-5,10.9
10,0.7,0,11.4
10,0.7,5,11.9
10,0.7,10,12.4
10,0.7,15,12.9
10,0.7,20,13.4
10,0.8,-20,9.6
10,0.8,-15,10.1
10,0.8,-10,10.6
10,0.8,-5,11.1
10,0.8,0,11.6
10,0.8,5,12.1
10,0.8,10,12.6
10,0.8,15,13.1
10,0.8,20,13.6
10,0.9,-20,9.8
10,0.9,-15,10.3
10,0.9,-10,10.8
10,0.9,-5,11.3
10,0.9,0,11.8
10,0.9,5,12.3
10,0.9,10,12.8
10,0.9,15,13.3
10,0.9,20,13.8
10,0.95,-20,9.9
10,0.95,-15,10.4
10,0.95,-10,10.9
10,0.95,-5,11.4
10,0.95,0,11.9
10,0.95,5,12.4
10,0.95,10,12.9
10,0.95,15,13.4
10,0.95,20,13.9
10,1,-20,10
10,1,-15,10.5
10,1,-10,11
10,1,-5,11.5
10,1,0,12
10,1,5,12.5
10,1,10,13
10,1,15,13.5
10,1,20,14
10,1.05,-20,10.1
10,1.05,-15,10.6
10,1.05,-10,11.1
10,1.05,-5,11.6
10,1.05,0,12.1
10,1.05,5,12.6
10,1.05,10,13.1
10,1.05,15,13.6
10,1.05,20,14.1
10,1.1,-20,10.2
10,1.1,-15,10.7
10,1.1,-10,11.2
10,1.1,-5,11.7
10,1.1,0,12.2
10,1.1,5,12.7
10,1.1,10,13.2
10,1.1,15,13.7
10,1.1,20,14.2
10,1.2,-20,10.4
10,1.2,-15,10.9
10,1.2,-10,11.4
10,1.2,-5,11.9
10,1.2,0,12.4
10,1.2,5,12.9
10,1.2,10,13.4
10,1.2,15,13.9
10,1.2,20,14.4
10,1.3,-20,10.6
10,1.3,-15,11.1
10,1.3,-10,11.6
10,1.3,-5,12.1
10,1.3,0,12.6
10,1.3,5,13.1
10,1.3,10,13.6
10,1.3,15,14.1
10,1.3,20,14.6
10,1.4,-20,10.8
10,1.4,-15,11.3
10,1.4,-10,11.8
10,1.4,-5,12.3
10,1.4,0,12.8
10,1.4,5,13.3
10,1.4,10,13.8
10,1.4,15,14.3
10,1.4,20,14.8
10,1.5,-20,11
10,1.5,-15,11.5
10,1.5,-10,12
10,1.5,-5,12.5
10,1.5,0,13
10,1.5,5,13.5
10,1.5,10,14
10,1.5,15,14.5
10,1.5,20,15
14,0.1,-20,12.2
14,0.1,-15,12.7
14,0.1,-10,13.2
14,0.1,-5,13.7
14,0.1,0,14.2
14,0.1,5,14.7
14,0.1,10,15.2
14,0.1,15,15.7
14,0.1,20,16.2
14,0.2,-20,12.4
14,0.2,-15,12.9
14,0.2,-10,13.4
14,0.2,-5,13.9
14,0.2,0,14.4
14,0.2,5,14.9
14,0.2,10,15.4
14,0.2,15,15.9
14,0.2,20,16.4
14,0.3,-20,12.6
14,0.3,-15,13.1
14,0.3,-10,13.6
14,0.3,-5,14.1
14,0.3,0,14.6
14,0.3,5,15.1
14,0.3,10,15.6
14,0.3,15,16.1
14,0.3,20,16.6
14,0.4,-20,12.8
14,0.4,-15,13.3
14,0.4,-10,13.8
14,0.4,-5,14.3
14,0.4,0,14.8
14,0.4,5,15.3
14,0.4,10,15.8
14,0.4,15,16.3
14,0.4,20,16.8
14,0.5,-20,13
14,0.5,-15,13.5
14,0.5,-10,14
14,0.5,-5,14.5
14,0.5,0,15
14,0.5,5,15.5
14,0.5,10,16
14,0.5,15,16.5
14,0.5,20,17
14,0.6,-20,13.2
14,0.6,-15,13.7
14,0.6,-10,14.2
14,0.6,-5,14.7
14,0.6,0,15.2
14,0.6,5,15.7
14,0.6,10,16.2
14,0.6,15,16.7
14,0.6,20,17.2
14,0.7,-20,13.4
14,0.7,-15,13.9
14,0.7,-10,14.4
14,0.7,-5,14.9
14,0.7,0,15.4
14,0.7,5,15.9
14,0.7,10,16.4
14,0.7,15,16.9
14,0.7,20,17.4
14,0.8,-20,13.6
14,0.8,-15,14.1
14,0.8,-10,14.6
14,0.8,-5,15.1
14,0.8,0,15.6
14,0.8,5,16.1
14,0.8,10,16.6
14,0.8,15,17.1
14,0.8,20,17.6
14,0.9,-20,13.8
14,0.9,-15,14.3
14,0.9,-10,14.8
14,0.9,-5,15.3
14,0.9,0,15.8
14,0.9,5,16.3
14,0.9,10,16.8
14,0.9,15,17.3
14,0.9,20,17.8
14,0.95,-20,13.9
14,0.95,-15,14.4
14,0.95,-10,14.9
14,0.95,-5,15.4
14,0.95,0,15.9
14,0.95,5,16.4
14,0.95,10,16.9
14,0.95,15,17.4
14,0.95,20,17.9
14,1,-20,14
14,1,-15,14.5
14,1,-10,15
14,1,-5,15.5
14,1,0,16
14,1,5,16.5
14,1,10,17
14,1,15,17.5
14,1,20,18
14,1.05,-20,14.1
14,1.05,-15,14.6
14,1.05,-10,15.1
14,1.05,-5,15.6
14,1.05,0,16.1
14,1.05,5,16.6
14,1.05,10,17.1
14,1.05,15,17.6
14,1.05,20,18.1
14,1.1,-20,14.2
14,1.1,-15,14.7
14,1.1,-10,15.2
14,1.1,-5,15.7
14,1.1,0,16.2
14,1.1,5,16.7
14,1.1,10,17.2
14,1.1,15,17.7
14,1.1,20,18.2
14,1.2,-20,14.4
14,1.2,-15,14.9
14,1.2,-10,15.4
14,1.2,-5,15.9
14,1.2,0,16.4
14,1.2,5,16.9
14,1.2,10,17.4
14,1.2,15,17.9
14,1.2,20,18.4
14,1.3,-20,14.6
14,1.3,-15,15.1
14,1.3,-10,15.6
14,1.3,-5,16.1
14,1.3,0,16.6
14,1.3,5,17.1
14,1.3,10,17.6
14,1.3,15,18.1
14,1.3,20,18.6
14,1.4,-20,14.8
14,1.4,-15,15.3
14,1.4,-10,15.8
14,1.4,-5,16.3
14,1.4,0,16.8
14,1.4,5,17.3
14,1.4,10,17.8
14,1.4,15,18.3
14,1.4,20,18.8
14,1.5,-20,15
14,1.5,-15,15.5
14,1.5,-10,16
14,1.5,-5,16.5
14,1.5,0,17
14,1.5,5,17.5
14,1.5,10,18
14,1.5,15,18.5
14,1.5,20,19
16,0.1,-20,14.2
16,0.1,-15,14.7
16,0.1,-10,15.2
16,0.1,-5,15.7
16,0.1,0,16.2
16,0.1,5,16.7
16,0.1,10,17.2
16,0.1,15,17.7
16,0.1,20,18.2
16,0.2,-20,14.4
16,0.2,-15,14.9
16,0.2,-10,15.4
16,0.2,-5,15.9
16,0.2,0,16.4
16,0.2,5,16.9
16,0.2,10,17.4
16,0.2,15,17.9
16,0.2,20,18.4
16,0.3,-20,14.6
16,0.3,-15,15.1
16,0.3,-10,15.6
16,0.3,-5,16.1
16,0.3,0,16.6
16,0.3,5,17.1
16,0.3,10,17.6
16,0.3,15,18.1
16,0.3,20,18.6
16,0.4,-20,14.8
16,0.4,-15,15.3
16,0.4,-10,15.8
16,0.4,-5,16.3
16,0.4,0,16.8
16,0.4,5,17.3
16,0.4,10,17.8
16,0.4,15,18.3
16,0.4,20,18.8
16,0.5,-20,15
16,0.5,-15,15.5
16,0.5,-10,16
16,0.5,-5,16.5
16,0.5,0,17
16,0.5,5,17.5
16,0.5,10,18
16,0.5,15,18.5
16,0.5,20,19
16,0.6,-20,15.2
16,0.6,-15,15.7
16,0.6,-10,16.2
16,0.6,-5,16.7
16,0.6,0,17.2
16,0.6,5,17.7
16,0.6,10,18.2
16,0.6,15,18.7
16,0.6,20,19.2
16,0.7,-20,15.4
16,0.7,-15,15.9
16,0.7,-10,16.4
16,0.7,-5,16.9
16,0.7,0,17.4
16,0.7,5,17.9
16,0.7,10,18.4
16,0.7,15,18.9
16,0.7,20,19.4
16,0.8,-20,15.6
16,0.8,-15,16.1
16,0.8,-10,16.6
16,0.8,-5,17.1
16,0.8,0,17.6
16,0.8,5,18.1
16,0.8,10,18.6
16,0.8,15,19.1
16,0.8,20,19.6
16,0.9,-20,15.8
16,0.9,-15,16.3
16,0.9,-10,16.8
16,0.9,-5,17.3
16,0.9,0,17.8
16,0.9,5,18.3
16,0.9,10,18.8
16,0.9,15,19.3
16,0.9,20,19.8
16,0.95,-20,15.9
16,0.95,-15,16.4
16,0.95,-10,16.9
16,0.95,-5,17.4
16,0.95,0,17.9
16,0.95,5,18.4
16,0.95,10,18.9
16,0.95,15,19.4
16,0.95,20,19.9
16,1,-20,16
16,1,-15,16.5
16,1,-10,17
16,1,-5,17.5
16,1,0,18
16,1,5,18.5
16,1,10,19
16,1,15,19.5
16,1,20,20
16,1.05,-20,16.1
16,1.05,-15,16.6
16,1.05,-10,17.1
16,1.05,-5,17.6
16,1.05,0,18.1
16,1.05,5,18.6
16,1.05,10,19.1
16,1.05,15,19.6
16,1.05,20,20.1
16,1.1,-20,16.2
16,1.1,-15,16.7
16,1.1,-10,17.2
16,1.1,-5,17.7
16,1.1,0,18.2
16,1.1,5,18.7
16,1.1,10,19.2
16,1.1,15,19.7
16,1.1,20,20.2
16,1.2,-20,16.4
16,1.2,-15,16.9
16,1.2,-10,17.4
16,1.2,-5,17.9
16,1.2,0,18.4
16,1.2,5,18.9
16,1.2,10,19.4
16,1.2,15,19.9
16,1.2,20,20.4
16,1.3,-20,16.6
16,1.3,-15,17.1
16,1.3,-10,17.6
16,1.3,-5,18.1
16,1.3,0,18.6
16,1.3,5,19.1
16,1.3,10,19.6
16,1.3,15,20.1
16,1.3,20,20.6
16,1.4,-20,16.8
16,1.4,-15,17.3
16,1.4,-10,17.8
16,1.4,-5,18.3
16,1.4,0,18.8
16,1.4,5,19.3
16,1.4,10,19.8
16,1.4,15,20.3
16,1.4,20,20.8
16,1.5,-20,17
16,1.5,-15,17.5
16,1.5,-10,18
16,1.5,-5,18.5
16,1.5,0,19
16,1.5,5,19.5
16,1.5,10,20
16,1.5,15,20.5
16,1.5,20,21
20,0.1,-20,18.2
20,0.1,-15,18.7
20,0.1,-10,19.2
20,0.1,-5,19.7
20,0.1,0,20.2
20,0.1,5,20.7
20,0.1,10,21.2
20,0.1,15,21.7
20,0.1,20,22.2
20,0.2,-20,18.4
20,0.2,-15,18.9
20,0.2,-10,19.4
20,0.2,-5,19.9
20,0.2,0,20.4
20,0.2,5,20.9
20,0.2,10,21.4
20,0.2,15,21.9
20,0.2,20,22.4
20,0.3,-20,18.6
20,0.3,-15,19.1
20,0.3,-10,19.6
20,0.3,-5,20.1
20,0.3,0,20.6
20,0.3,5,21.1
20,0.3,10,21.6
20,0.3,15,22.1
20,0.3,20,22.6
20,0.4,-20,18.8
20,0.4,-15,19.3
20,0.4,-10,19.8
20,0.4,-5,20.3
20,0.4,0,20.8
20,0.4,5,21.3
20,0.4,10,21.8
20,0.4,15,22.3
20,0.4,20,22.8
20,0.5,-20,19
20,0.5,-15,19.5
20,0.5,-10,20
20,0.5,-5,20.5
20,0.5,0,21
20,0.5,5,21.5
20,0.5,10,22
20,0.5,15,22.5
20,0.5,20,23
20,0.6,-20,19.2
20,0.6,-15,19.7
20,0.6,-10,20.2
20,0.6,-5,20.7
20,0.6,0,21.2
20,0.6,5,21.7
20,0.6,10,22.2
20,0.6,15,22.7
20,0.6,20,23.2
20,0.7,-20,19.4
20,0.7,-15,19.9
20,0.7,-10,20.4
20,0.7,-5,20.9
20,0.7,0,21.4
20,0.7,5,21.9
20,0.7,10,22.4
20,0.7,15,22.9
20,0.7,20,23.4
20,0.8,-20,19.6
20,0.8,-15,20.1
20,0.8,-10,20.6
20,0.8,-5,21.1
20,0.8,0,21.6
20,0.8,5,22.1
20,0.8,10,22.6
20,0.8,15,23.1
20,0.8,20,23.6
20,0.9,-20,19.8
20,0.9,-15,20.3
20,0.9,-10,20.8
20,0.9,-5,21.3
20,0.9,0,21.8
20,0.9,5,22.3
20,0.9,10,22.8
20,0.9,15,23.3
